Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	0	0	0
03-11-2020	0	0	0
03-12-2020	0	0	0
03-13-2020	0	0	0
03-14-2020	0	0	0
03-15-2020	0	0	0
03-16-2020	1	0	0
03-17-2020	1	0	0
03-18-2020	1	0	0
03-19-2020	3	0	0
03-20-2020	3	0	0
03-21-2020	4	0	0
03-22-2020	4	0	0
03-23-2020	4	0	0
03-24-2020	5	0	1
03-25-2020	5	0	1
03-26-2020	9	0	1
03-27-2020	10	0	1
03-28-2020	10	0	1
03-29-2020	11	0	1
03-30-2020	14	0	1
04-01-2020	21	1	1
04-02-2020	24	1	1
04-03-2020	24	1	1
04-04-2020	28	4	0
04-05-2020	28	4	0
04-06-2020	29	5	4
04-07-2020	33	6	5
04-08-2020	40	7	5
04-09-2020	41	8	5
04-10-2020	42	8	5
04-11-2020	46	8	5
04-12-2020	46	8	5
04-13-2020	47	8	6
04-14-2020	49	8	6
04-15-2020	49	8	6
04-16-2020	53	8	6
04-17-2020	54	9	6
04-18-2020	55	9	10
04-19-2020	55	9	10
04-20-2020	60	9	11
04-21-2020	65	9	12
04-22-2020	65	9	12
