Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	1	0	0
02-29-2020	1	0	0
03-01-2020	1	0	0
03-02-2020	1	0	0
03-03-2020	1	0	0
03-04-2020	1	0	0
03-05-2020	1	0	0
03-06-2020	1	0	0
03-07-2020	1	0	0
03-08-2020	1	0	0
03-09-2020	2	0	0
03-10-2020	2	0	0
03-11-2020	2	0	0
03-12-2020	2	0	0
03-13-2020	2	0	0
03-14-2020	2	0	0
03-15-2020	2	0	0
03-16-2020	2	0	0
03-17-2020	3	0	0
03-18-2020	8	0	1
03-19-2020	8	0	1
03-20-2020	12	0	1
03-21-2020	22	0	1
03-22-2020	30	0	2
03-23-2020	40	1	2
03-24-2020	44	1	2
03-25-2020	51	1	2
03-26-2020	65	1	2
03-27-2020	70	1	3
03-28-2020	89	1	3
03-29-2020	111	1	3
03-30-2020	131	2	8
04-01-2020	174	2	9
04-02-2020	184	2	20
04-03-2020	210	4	25
04-04-2020	214	4	25
04-05-2020	232	5	33
04-06-2020	238	5	35
04-07-2020	254	6	44
04-08-2020	276	6	44
04-09-2020	288	7	51
04-10-2020	305	7	58
04-11-2020	318	10	70
04-12-2020	323	10	85
04-13-2020	343	10	91
04-14-2020	373	11	99
04-15-2020	407	12	128
04-16-2020	442	13	152
04-17-2020	493	17	159
04-18-2020	542	19	166
04-19-2020	627	21	170
04-20-2020	665	22	188
04-21-2020	665	22	188
04-22-2020	873	28	197
